"","C17","C19","C23-1","C26","C28","C3","C33","C36","C42","C51","C65","C67","C68","C91ref","C96","LB-18","LB19","LB21","LB3","LB-32","LB33","LB34","LB35","LB-4","S11","S25","S27","S29","S30","S46","S8","UB46","UB-49","UB69"
"2008",2066.65525814102,965.66620561235,9135.72379062377,4500.6704541147,8143.90382617028,744.089989913927,454.000036670426,160.92588456528,147.348549434995,443.386794208803,NA,1641.73223227589,NA,301.531633687875,129.694997836678,525.371366893209,6346.25340801893,2647.13141681525,364.92740264099,NA,NA,75.8807723177464,NA,2505.6337695383,3414.0642410727,NA,241.078280414112,NA,19008.1761912556,NA,2419.62701577951,3340.93299064537,904.079994027702,NA
"2009",2890.10344928095,985.499080034462,9389.72532657768,8331.59545182561,10491.7322551261,672.793429596299,1602.00647901198,799.301595845175,136.390045940743,1646.16219207672,795.225379377143,4956.83410564565,NA,324.413423780296,593.071117781742,857.865909456335,11158.0071941255,1694.80724104343,3723.96130767855,479.163565507149,576.80426518072,54.1450352253547,NA,3536.68562889055,6315.85127343235,409.715204147628,747.604803774763,NA,9245.61921492046,4.5238934211693,6360.36795549298,5925.3588464135,843.367145200752,NA
"2010",2911.71823505618,2320.00805521197,10921.809692058,9155.07348809576,6656.6201427265,1070.49172768468,912.594966755992,1201.66672982046,225.315339274725,4408.61676281628,1692.47492265741,8597.95350000463,NA,429.561273258885,884.98696467551,797.6780207618,7150.10403002651,2311.15536127342,4410.15991312772,2026.24903590834,1413.4854728961,80.7942232279609,169.716689128555,3749.34254888617,5580.9765172492,2272.60299286563,932.62984558573,NA,8911.68268132934,283.800170591749,5868.87458129829,3620.48195805828,1273.44583876968,27.7116746380502
"2011",9006.2754078104,1926.28167271552,12702.368903696,6782.77268068699,9052.46404548127,2165.61636920689,1189.74878392981,671.948969491014,242.44644401475,4323.10072582997,392.758143640612,10516.853372462,NA,410.134606766882,262.325499848871,1281.34757261199,5804.76692744987,1955.96846665489,4646.24997272646,2378.89972277763,2663.91726052265,777.409407438635,1110.90988796944,2453.00486692757,4467.25427553626,1489.31974964258,2298.54500836191,NA,2641.35182881044,1310.60082676516,3315.28502822147,2534.63852371257,1135.68543011344,122.293405544821
"2012",3785.41651484954,3875.03138777099,6030.06058973528,6234.90311216436,9706.44530410861,1006.53487028363,1025.28106780687,378.529242193973,245.094492462461,211.213986489822,113.343950552539,8764.53048143519,NA,299.458182536506,963.740095156434,1179.63379806304,10307.6826778341,892.918543648028,724.663323421924,2835.16170615864,1400.30177932531,660.578917359141,1705.42236846065,2128.92162453517,3252.4446928495,1101.65381353417,1909.35445733872,3147.0040469356,515.975177425588,2477.10433833253,4521.53565588278,2890.10282096242,1229.17985580281,72.7225292230926
"2013",11533.4366268482,4309.18441285236,8741.92169574437,743.954273111292,7822.99830474699,152.365044584247,645.17914433051,675.255181599651,511.455368074868,24620.3264182471,3901.75000497124,11457.3532218043,NA,559.639231240036,1172.20832966702,909.399652868026,7776.01829988667,1010.57244516203,533.67239716179,3142.39407387572,3021.74874783698,910.889710263623,2906.8126381276,2741.01194424174,1784.27728654355,4476.96808002116,1401.44154914004,6659.34201860157,2660.15143340879,3213.56182889456,959.257670758292,3966.62891981611,1491.35518752284,621.205022472435
"2014",9205.23592631416,3695.33982780802,8961.5008009929,3565.41455122984,8082.53878270845,582.888587672927,1861.20515169274,945.478645379647,629.966924383297,5570.23729692217,6644.46846234241,10298.5104839227,NA,537.42722870136,1300.44971258288,1814.90781491605,9295.16747177508,1220.24956452571,356.995823668472,2171.49428906176,2771.27930450349,455.08482861371,5866.09584259619,1906.8597186125,2401.78402614418,5159.21142031946,1698.21429827625,8521.405139248,3425.03688173389,1211.81124665817,1774.57259267734,5609.44971394648,1809.97959852036,883.637022312263
"2015",8814.07999492687,6773.11762398471,8401.95581753248,2822.12535328331,3565.24270611168,405.140731084736,1384.18415237534,789.717224977603,551.244267351113,7668.18784444118,5490.20459575343,2344.06291600124,456.924545271653,353.43200096224,1488.76463022069,1035.59460232934,8725.96963072723,2087.42621212949,1290.33755414951,3306.98588290848,1663.62504900096,834.778973363634,3997.61381983994,861.310665800996,2160.33032540796,2433.6595676853,1526.12319342011,5200.17527524815,4995.95698727934,210.471628145779,1926.69007976049,6154.10197743256,3310.61536490117,384.726976180975
"2016",7535.96951938514,2252.17510079493,11286.3915195071,6882.48934478605,2979.85183989017,242.474404189367,795.099401511734,757.125400311467,466.647146215982,6105.28822494035,14532.3186642375,12580.0286884207,1881.04368098163,414.883752381314,779.190376313955,4395.50061348754,16252.5819163937,1128.92629351925,1697.74023194483,2421.86634302299,574.613632623372,1237.82677542255,5259.43984986179,1027.73056759887,2386.59254070848,4424.64296942003,698.452387594493,3346.51402999447,4524.12715566273,898.874060841438,4341.73885256592,4524.73693879679,2595.58542119221,125.63606012824
"2017",2291.28415942093,2563.12774253239,7519.21006505604,384.59125937834,3214.88978010923,139.939103161504,259.363606295066,985.186805724695,357.827403243877,7567.84003437801,8637.87308953527,9891.41254061475,2759.19799579484,547.345865027274,1638.37072813655,2214.32990489346,5355.18522668745,1337.9216872771,362.15274800934,869.291567778175,758.839139104,289.936329362741,7384.63491719127,878.728597950294,1971.42950074026,5398.01801508576,1338.22956335716,1562.06112842159,3197.55667096158,1041.55357527467,3032.83071592251,4057.46744307613,2375.50900182661,155.206929298685
"2018",6151.74107055339,1616.80180961407,4735.77499609801,5304.15947880785,2147.99643264997,282.894135270454,700.281422837413,530.732180597295,210.089610479102,4796.86797763605,11162.389401718,3746.09696951575,8858.48734956316,268.658950638508,1118.71454659875,985.216336695639,2572.82018418724,644.994104523213,2473.06173690589,379.295790801449,443.81279417263,113.323530200291,5122.94361808936,709.38418755119,418.686336129219,4237.56960919893,1420.60149441575,879.458704082988,3064.39649642799,1056.73626425094,10532.1893711598,4336.47699903042,1090.60483217149,674.821955972722
"2019",9011.83037194047,1080.1046870454,8189.24329134689,6128.86524948701,5127.63056016925,1402.46256675245,603.278466472521,1199.2549291403,515.087677500949,6055.3947070531,11185.473196218,5207.95480113623,7541.00329329399,420.770782854876,604.492692033134,4074.04091512015,22690.9069227891,2764.55126967656,2727.75567988066,2019.26339048382,4562.22870552473,2427.43167440882,3296.59129529555,2595.13146105377,9775.54589116138,4195.9177454791,4110.67754032778,1630.49444119474,9162.10562909155,2715.32596854673,6584.74552936061,4858.72593698523,1839.45025088516,2413.27848534513
"2020",7073.46801883484,916.123603624504,7287.15789449495,3338.58339349975,2227.88085064545,167.838959199504,385.214865520077,272.760614007034,420.145291757546,6646.64464357355,10957.703330603,7045.42993272008,10595.16730829,194.97352326709,997.306441863714,2915.97760637592,14456.4378919197,3038.58611366389,8741.64774886497,1508.73730551588,4268.1812880155,1143.13760204703,1782.83780878967,1957.53486475196,6203.75045109283,3815.89656093394,1702.8962138079,2726.58323750234,6035.50434148543,4493.55317595799,5376.27033994128,3841.73647466898,1193.4888499839,1598.02765191621
"2021",3927.34298952371,2017.2493154336,10335.3890117646,562.789934512321,2170.52636436519,327.679109343703,281.662630950246,371.777331262878,212.159605878553,6141.79133246021,12099.4017690555,8355.60381704361,6420.7038132015,203.756159689465,968.789262869283,1877.74092462491,10562.7696340498,1878.15969892563,6298.14934130717,547.014112843055,7498.47272610895,339.846497691056,1796.48048904715,601.617506436568,7377.99264784379,6733.06106101438,1341.06830647894,693.057958849014,10151.5869919737,1556.88818195819,1338.379731486,4350.98173231205,1250.47953983488,1012.10051582873
"2022",1749.60038683323,719.261040694811,9293.59510465196,551.174523994204,1548.94435077432,458.465496468238,366.661561785772,687.189463772109,270.93597699383,615.171279621951,7389.25211591425,3761.86619384044,306.704894310541,195.427169246268,148.685297109098,1247.93013739649,6857.93968315384,1779.23314537895,895.368985917828,642.407945450778,1266.79602959983,261.345322940951,665.354452351863,410.632863361741,2710.16181854276,4858.21040163077,810.717829389055,886.233234481189,5193.97722710188,577.194450988296,1258.50568074627,2412.5169632859,1056.01715369253,551.161015145793
"2023",8262.48701079121,5998.47281808123,21394.7910372719,6349.73586347544,5490.8605602995,2253.23067592653,3134.73392850848,3029.64137106059,680.699875827588,16192.4873330009,20720.5449352326,7927.73209231383,15820.3970991098,906.116060226494,2691.12062546935,4144.56747107838,11960.0887853098,4275.2442166193,10671.1482974134,1614.23355761976,2594.88264691561,1912.6820322774,4279.69962332062,4631.10969525101,21470.2348140515,10929.9517577383,4929.76111679408,3301.9505382033,17921.6601419227,6973.5279874981,12557.0463673633,5831.87918620961,2096.20256536656,2356.46592379761
