Class,2023,2021,2019,2017,2015,2013,2010,,Class,2023,2021,2019,2017,2015,2013,2010,,Class,2023,2021,2019,2017,2015,2013,2010
Shadow,185816.88,116051.04,116051.04,227151,84752,32626,275417,,Shadow,346120.56,2426238,123850.44,227193,112601,48660,78109,,Shadow,396059.76,307950.12,50596.92,397216,59455,48504,158540
Water,916767.36,143002.08,143002.08,437912,171199,179303,159637,,Water,3197730.6,4173690.96,171513.36,437859,173904,195902,158522,,Water,964584,200947.68,241652.52,628187,259173,246311,251756
upland forests,2286460.8,824283,824283,2333244,727831,705500,596605,,upland forests,823249.44,617844.24,1570371.48,2332512,710975,664581,519990,,upland forests,2121998.76,596682.72,515085.48,2243577,598858,533050,574397
Barren,3407203.44,399762.72,399762.72,1602368,397806,477596,570108,,Barren,3437593.92,4627978.56,568579.32,1602575,363222,230443,480659,,Barren,2377545.48,403147.44,776693.16,1758620,579349,600653,622245
Forest,1768408.56,566071.2,566071.2,1343580,487356,498590,402500,,Forest,1543874.04,2577006,414806.4,1343292,276364,308978,321866,,Forest,2370307.68,408843,465890.04,1238736,493055,539092,587612
Shrubland,6325887.24,1674427.68,1674427.68,4396728,1858940,1831030,1720378,,Shrubland,22645144.8,17806587.84,5208885.72,4397045,1417820,1590761,1479841,,Shrubland,7652806.56,1955370.96,1823210.28,4765716,2012420,2006734,1779484
