"","std","samp.depth"
"1994",0.25809440486945,1
"1995",1.56264181902268,1
"1996",1.23873176360797,2
"1997",1.70203811374242,3
"1998",1.79708557522245,4
"1999",0.737637764026918,5
"2000",0.738942979486122,7
"2001",0.965609445359746,9
"2002",0.553640335066548,10
"2003",1.12801580215799,13
"2004",0.897483157358316,14
"2005",1.27126534985631,14
"2006",0.953164676580322,14
"2007",0.764184065276461,15
"2008",0.713195844236411,15
"2009",1.14137509922696,17
"2010",0.942971967067599,18
"2011",1.06896186698258,18
"2012",1.05603226093665,18
"2013",0.995282487402427,18
"2014",0.838854511298705,18
"2015",0.943900607723202,18
"2016",1.11917182646664,18
"2017",0.603429122035598,18
"2018",0.738926880276264,18
"2019",1.32709976577449,18
"2020",1.1848577188636,18
"2021",0.68971264561757,18
"2022",0.610123579139046,18
"2023",1.9296321646563,18
