"","std","samp.depth"
"1994",0.39482133749022,1
"1995",0.928060482367547,3
"1996",1.53222326458581,4
"1997",1.94427658030384,5
"1998",1.30731512103263,6
"1999",1.18491825813425,6
"2000",1.54646006187616,7
"2001",1.30179456515971,7
"2002",1.11914782322685,7
"2003",0.322049313352613,8
"2004",1.03778171371891,8
"2005",0.408680467994674,8
"2006",1.05939209093542,8
"2007",1.01055691702796,8
"2008",0.689069473066134,8
"2009",1.1549237725215,9
"2010",1.31807074551071,10
"2011",1.20372228495237,10
"2012",0.592642142560678,10
"2013",1.11971144404124,10
"2014",1.20645696010006,10
"2015",1.32501018239769,10
"2016",0.769210458540735,10
"2017",0.813413597599675,10
"2018",0.861745702414354,10
"2019",0.802357359178995,10
"2020",0.841675348581523,10
"2021",0.815392848674841,10
"2022",0.651000885244826,10
"2023",1.39862752878798,10
