"","std","samp.depth"
"1988",2.25203293589459,1
"1989",0.85901707840953,1
"1990",1.22492273638217,1
"1991",1.36848945463653,1
"1992",0.353722074193059,1
"1993",0.444156976754151,2
"1994",0.529534376807912,2
"1995",0.413861288561982,2
"1996",0.305806713533322,2
"1997",1.47256408374688,2
"1998",0.685580070462079,2
"1999",1.07833197021761,3
"2000",0.808538745503872,4
"2001",0.931061987469607,7
"2002",1.09447114198607,8
"2003",1.20334301250744,8
"2004",0.762467580992571,8
"2005",0.862083806274297,8
"2006",0.998579960195586,9
"2007",0.959601277573583,11
"2008",1.08044756330274,13
"2009",1.15524408145771,15
"2010",1.12958810498774,15
"2011",1.31563249463943,15
"2012",1.03021739917122,16
"2013",0.984642945572865,16
"2014",0.879702768002175,17
"2015",0.573671343724503,18
"2016",0.503894993971372,18
"2017",0.60497323378467,18
"2018",0.599383149406342,18
"2019",1.07576168118799,18
"2020",1.12866673859669,18
"2021",1.22670523901621,18
"2022",0.592437646924051,18
"2023",2.63409448013516,18
