Diameter,Height,HDR
4,31,77.5
3,8,26.66666667
2,6,30
1,6,60
1,5,50
1,3,30
1,3,30
4,27,67.5
2,14,70
5,57,114
4,40,100
3,52,173.3333333
2,27,135
2,27,135
2,14,70
3,52,173.3333333
2,14,70
5,57,114
3,10,33.33333333
3,35,116.6666667
3,41,136.6666667
2,13,65
3,16,53.33333333
2,13,65
4,22,55
3,21,70
3,25,83.33333333
4,27,67.5
3,25,83.33333333
3,25,83.33333333
6,50,83.33333333
6,55,91.66666667
3,28,93.33333333
2,10,50
2,12,60
5,51,102
4,46,115
2,6,30
2,11,55
4,46,115
4,43,107.5
4,40,100
4,46,115
4,45,112.5
2,10,50
2,12,60
2,25,125
2,11,55
3,21,70
3,30,100
2,13,65
4,35,87.5
2,10,50
3,17,56.66666667
2,14,70
3,19,63.33333333
3,25,83.33333333
5,35,70
3,31,103.3333333
2,15,75
2,16,80
4,25,62.5
2,17,85
3,20,66.66666667
6,52,86.66666667
4,27,67.5
2,11,55
2,15,75
3,36,120
3,12,40
2,17,85
3,22,73.33333333
1,5,50
2,20,100
2,20,100
3,26,86.66666667
1,4,40
1,5,50
2,13,65
2,20,100
2,16,80
2,26,130
2,17,85
3,31,103.3333333
2,15,75
1,4,40
1,10,100
1,13,130
2,16,80
1,9,90
3,27,90
2,13,65
1,10,100
1,9,90
1,6,60
2,22,110
3,25,83.33333333
1,12,120
3,21,70
2,15,75
3,23,76.66666667
3,36,120
2,11,55
3,22,73.33333333
2,11,55
2,21,105
3,25,83.33333333
2,19,95
3,21,70
3,34,113.3333333
2,13,65
2,11,55
2,12,60
3,42,140
2,16,80
1,12,120
3,32,106.6666667
2,16,80
2,12,60
3,23,76.66666667
1,10,100
2,24,120
2,17,85
2,16,80
1,10,100
3,42,140
3,37,123.3333333
2,20,100
4,35,87.5
3,35,116.6666667
3,40,133.3333333
3,35,116.6666667
4,59,147.5
1,10,100
1,8,80
3,27,90
3,29,96.66666667
1,11,110
2,21,105
3,43,143.3333333
3,16,53.33333333
2,19,95
2,18,90
1,14,140
1,10,100
1,7,70
2,12,60
2,26,130
4,25,62.5
2,15,75
1,9,90
2,11,55
1,10,100
2,24,120
1,10,100
2,20,100
2,11,55
2,14,70
1,10,100
1,12,120
3,24,80
2,12,60
1,6,60
1,9,90
2,17,85
2,19,95
2,10,50
1,6,60
2,9,45
2,11,55
1,7,70
1,8,80
2,33,165
2,10,50
1,8,80
2,11,55
2,20,100
2,9,45
2,16,80
3,35,116.6666667
2,10,50
3,40,133.3333333
2,12,60
1,5,50
4,50,125
2,17,85
1,9,90
1,10,100
2,11,55
1,13,130
2,13,65
2,11,55
2,20,100
,,
,,
2,12,60
2,23,115
2,20,100
2,14,70
2,16,80
2,13,65
3,27,90
2,11,55
2,10,50
2,31,155
1,10,100
2,9,45
3,24,80
1,7,70
2,15,75
2,19,95
6,60,100
7,85,121.4285714
6,25,41.66666667
4,40,100
3,37,123.3333333
6,55,91.66666667
3,43,143.3333333
2,30,150
3,53,176.6666667
2,30,150
2,11,55
2,15,75
2,21,105
2,18,90
2,15,75
2,10,50
2,11,55
5,78,156
2,10,50
3,22,73.33333333
3,25,83.33333333
2,21,105
1,10,100
1,10,100
1,10,100
1,12,120
1,12,120
1,12,120
1,12,120
1,12,120
3,34,113.3333333
1,11,110
2,20,100
4,34,85
3,35,116.6666667
2,16,80
2,17,85
1,10,100
1,10,100
1,11,110
1,10,100
2,21,105
1,14,140
1,10,100
5,50,100
3,30,100
3,39,130
2,10,50
3,23,76.66666667
1,10,100
1,10,100
1,7,70
3,28,93.33333333
2,19,95
3,21,70
2,14,70
2,13,65
2,14,70
3,27,90
3,31,103.3333333
1,8,80
2,20,100
2,11,55
4,37,92.5
1,6,60
2,15,75
2,13,65
2,14,70
2,15,75
2,12,60
5,65,130
7,88,125.7142857
8,113,141.25
7,69,98.57142857
3,33,110
4,48,120
6,82,136.6666667
10,135,135
7,84,120
2,15,75
3,37,123.3333333
2,11,55
3,21,70
3,23,76.66666667
2,22,110
2,17,85
2,21,105
2,12,60
2,20,100
2,18,90
3,28,93.33333333
2,20,100
2,10,50
3,25,83.33333333
5,58,116
3,25,83.33333333
3,24,80
3,19,63.33333333
3,26,86.66666667
4,32,80
2,12,60
3,22,73.33333333
2,20,100
2,12,60
3,26,86.66666667
2,11,55
3,34,113.3333333
2,16,80
3,30,100
3,13,43.33333333
3,20,66.66666667
4,42,105
2,12,60
2,13,65
3,31,103.3333333
2,15,75
4,41,102.5
3,19,63.33333333
3,18,60
2,15,75
2,15,75
3,35,116.6666667
1,10,100
2,20,100
2,16,80
2,15,75
2,11,55
2,8,40
3,38,126.6666667
3,18,60
3,24,80
2,17,85
2,23,115
3,43,143.3333333
3,16,53.33333333
3,25,83.33333333
4,35,87.5
4,43,107.5
3,15,50
3,21,70
2,18,90
3,23,76.66666667
2,10,50
1,8,80
1,7,70
3,25,83.33333333
2,12,60
1,6,60
1,4,40
4,38,95
2,16,80
1,6,60
2,11,55
1,4,40
2,14,70
3,29,96.66666667
1,3,30
4,42,105
5,58,116
2,9,45
2,12,60
1,4,40
3,18,60
1,9,90
2,23,115
2,17,85
2,27,135
2,10,50
1,8,80
2,15,75
3,27,90
1,3,30
3,28,93.33333333
2,17,85
1,8,80
2,10,50
1,6,60
1,4,40
3,27,90
1,5,50
3,16,53.33333333
2,15,75
1,11,110
1,9,90
1,5,50
2,20,100
2,5,25
1,9,90
1,4,40
4,40,100
1,14,140
1,8,80
2,6,30
,,#DIV/0!
4,29,72.5
3,22,73.33333333
5,30,60
3,22,73.33333333
6,20,33.33333333
2,14,70
5,23,46
1,8,80
5,35,70
10,89,89
3,35,116.6666667
2,19,95
5,22,44
3,42,140
9,68,75.55555556
,,#DIV/0!
4,12,30
4,39,97.5
2,17,85
1,6,60
2,15,75
2,11,55
4,46,115
3,32,106.6666667
1,10,100
,,#DIV/0!
4,21,52.5
5,14,28
1,5,50
2,12,60
5,32,64
4,45,112.5
5,59,118
6,18,30
2,13,65
3,24,80
2,20,100
4,42,105
2,13,65
2,15,75
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
6,52,86.66666667
7,60,85.71428571
3,27,90
6,39,65
2,10,50
3,24,80
2,16,80
3,36,120
3,22,73.33333333
2,11,55
3,23,76.66666667
