"","std","samp.depth"
"1988",15.933065746584,3.14159265358979
"1989",14.4732540430353,9.42477796076938
"1990",28.6576945898732,15.707963267949
"1991",43.1662036074145,21.9911485751286
"1992",13.0712487836914,28.2743338823081
"1993",17.5324725892793,75.398223686155
"1994",12.8297370006744,298.45130209103
"1995",61.8848204193369,455.53093477052
"1996",51.2711980483829,612.61056745001
"1997",60.3760482979494,769.690200129499
"1998",78.9957739180242,1130.97335529233
"1999",68.3416940472868,1859.82285092516
"2000",80.5143150848213,2572.96438329004
"2001",94.6356554833838,4222.30052642468
"2002",89.9974966688629,6069.55700673548
"2003",90.6061496697797,8444.60105284936
"2004",91.7939295683622,11422.8308884525
"2005",122.13466965243,14265.9722399513
"2006",113.939698973015,16534.2021358431
"2007",103.354755952412,21978.5822045142
"2008",123.396445577945,28667.0329640069
"2009",165.27259746434,39584.0674352314
"2010",169.696514886568,48455.925088969
"2011",164.714864824834,54889.9068435209
"2012",132.208449258421,63343.932674331
"2013",180.57261073065,70186.3214738496
"2014",180.250556754793,77028.7102733681
"2015",149.864968554351,86519.4616798629
"2016",159.894688330815,93782.8238949625
"2017",126.441886096401,101046.186110062
"2018",109.891138508273,108309.548325162
"2019",239.83280661277,115572.910540261
"2020",195.17685549148,122836.272755361
"2021",166.972275675241,130099.634970461
"2022",102.018245535029,137362.99718556
"2023",495.647788646122,144626.35940066
