"","std","samp.depth"
"1994",36.7805101511679,2
"1995",1290.25493026272,2
"1996",200.095129836985,3
"1997",575.334023665748,4
"1998",1556.94439732497,5
"1999",177.232095329958,9
"2000",666.976112738532,12
"2001",936.934655482426,13
"2002",546.200953549871,18
"2003",347.36808612779,21
"2004",752.42557494073,23
"2005",873.400896248639,24
"2006",806.908634695659,24
"2007",1355.80354833177,28
"2008",1238.21048572896,30
"2009",2141.46575463756,35
"2010",2657.93433009807,35
"2011",2876.45220816399,36
"2012",2138.81489295467,37
"2013",2616.66227621872,38
"2014",3402.09362186326,38
"2015",2728.54747687848,38
"2016",2602.16739722783,38
"2017",1908.03674475684,39
"2018",1421.9783322599,39
"2019",3243.64870196212,39
"2020",3249.48278644182,39
"2021",1740.71419990414,39
"2022",957.641004523344,39
"2023",5601.97739441656,39
