Date,Value,Anomaly,Month,Year
200002,1.25,-0.49,02,2000
200003,2.61,0.98,03,2000
200004,0.13,-0.69,04,2000
200005,0.01,-0.38,05,2000
200006,1.02,0.74,06,2000
200007,0.31,-1.7,07,2000
200008,3.6,1.01,08,2000
200009,0.07,-1.37,09,2000
200010,4.76,3.72,10,2000
200011,0.63,-0.46,11,2000
200012,0.06,-1.53,12,2000
200101,2.24,0.59,01,2001
200102,1.57,-0.17,02,2001
200103,1.69,0.06,03,2001
200104,1,0.18,04,2001
200105,0.37,-0.02,05,2001
200106,0.35,0.07,06,2001
200107,1.12,-0.89,07,2001
200108,2.66,0.07,08,2001
200109,0.34,-1.1,09,2001
200110,0.87,-0.17,10,2001
200111,0.56,-0.53,11,2001
200112,0.89,-0.7,12,2001
200201,0.06,-1.59,01,2002
200202,0,-1.74,02,2002
200203,0.26,-1.37,03,2002
200204,0.35,-0.47,04,2002
200205,0,-0.39,05,2002
200206,0,-0.28,06,2002
200207,1.2,-0.81,07,2002
200208,0.23,-2.36,08,2002
200209,2.61,1.17,09,2002
200210,1.01,-0.03,10,2002
200211,0.82,-0.27,11,2002
200212,0.54,-1.05,12,2002
200301,0.57,-1.08,01,2003
200302,4.37,2.63,02,2003
200303,1.75,0.12,03,2003
200304,0.37,-0.45,04,2003
200305,0.1,-0.29,05,2003
200306,0.02,-0.26,06,2003
200307,1.33,-0.68,07,2003
200308,3.27,0.68,08,2003
200309,0.97,-0.47,09,2003
200310,0.12,-0.92,10,2003
200311,1.68,0.59,11,2003
200312,0.68,-0.91,12,2003
200401,0.45,-1.2,01,2004
200402,1.58,-0.16,02,2004
200403,0.57,-1.06,03,2004
200404,2.11,1.29,04,2004
200405,0,-0.39,05,2004
200406,0,-0.28,06,2004
200407,1.25,-0.76,07,2004
200408,1.48,-1.11,08,2004
200409,2.4,0.96,09,2004
200410,3.82,2.78,10,2004
200411,3.21,2.12,11,2004
200412,2.91,1.32,12,2004
200501,4.54,2.89,01,2005
200502,5.28,3.54,02,2005
200503,1.27,-0.36,03,2005
200504,0.93,0.11,04,2005
200505,0.03,-0.36,05,2005
200506,0.33,0.05,06,2005
200507,1.6,-0.41,07,2005
200508,2.86,0.27,08,2005
200509,0.18,-1.26,09,2005
200510,1.35,0.31,10,2005
200511,0.15,-0.94,11,2005
200512,0,-1.59,12,2005
200601,0.06,-1.59,01,2006
200602,0.04,-1.7,02,2006
200603,1.66,0.03,03,2006
200604,0.41,-0.41,04,2006
200605,0.09,-0.3,05,2006
200606,0.47,0.19,06,2006
200607,2.26,0.25,07,2006
200608,2.13,-0.46,08,2006
200609,2.01,0.57,09,2006
200610,1.25,0.21,10,2006
200611,0.01,-1.08,11,2006
200612,0.33,-1.26,12,2006
200701,0.77,-0.88,01,2007
200702,0.78,-0.96,02,2007
200703,1.14,-0.49,03,2007
200704,0.1,-0.72,04,2007
200705,0.06,-0.33,05,2007
200706,0,-0.28,06,2007
200707,3.33,1.32,07,2007
200708,1.49,-1.1,08,2007
200709,1.28,-0.16,09,2007
200710,0.17,-0.87,10,2007
200711,0.72,-0.37,11,2007
200712,3.27,1.68,12,2007
200801,3.47,1.82,01,2008
200802,1.61,-0.13,02,2008
200803,0.09,-1.54,03,2008
200804,0,-0.82,04,2008
200805,0.88,0.49,05,2008
200806,0.02,-0.26,06,2008
200807,2.3,0.29,07,2008
200808,2.79,0.2,08,2008
200809,0.63,-0.81,09,2008
200810,0.03,-1.01,10,2008
200811,1.73,0.64,11,2008
200812,3.1,1.51,12,2008
200901,0.4,-1.25,01,2009
200902,1.9,0.16,02,2009
200903,0.07,-1.56,03,2009
200904,0.7,-0.12,04,2009
200905,0.91,0.52,05,2009
200906,0.13,-0.15,06,2009
200907,1.37,-0.64,07,2009
200908,0.63,-1.96,08,2009
200909,0.64,-0.8,09,2009
200910,0.03,-1.01,10,2009
200911,0.06,-1.03,11,2009
200912,2.59,1,12,2009
201001,4.99,3.34,01,2010
201002,1.9,0.16,02,2010
201003,1.53,-0.1,03,2010
201004,0.18,-0.64,04,2010
201005,0.01,-0.38,05,2010
201006,0.12,-0.16,06,2010
201007,1.87,-0.14,07,2010
201008,2.05,-0.54,08,2010
201009,0.25,-1.19,09,2010
201010,2.54,1.5,10,2010
201011,0.34,-0.75,11,2010
201012,2.83,1.24,12,2010
201101,0.01,-1.64,01,2011
201102,1.94,0.2,02,2011
201103,0.38,-1.25,03,2011
201104,0.61,-0.21,04,2011
201105,0.31,-0.08,05,2011
201106,0,-0.28,06,2011
201107,1.71,-0.3,07,2011
201108,0.81,-1.78,08,2011
201109,1.17,-0.27,09,2011
201110,0.87,-0.17,10,2011
201111,1.01,-0.08,11,2011
201112,2.62,1.03,12,2011
201201,0.15,-1.5,01,2012
201202,0.34,-1.4,02,2012
201203,1.44,-0.19,03,2012
201204,0.6,-0.22,04,2012
201205,0,-0.39,05,2012
201206,0.02,-0.26,06,2012
201207,3.42,1.41,07,2012
201208,3.09,0.5,08,2012
201209,0.89,-0.55,09,2012
201210,0.23,-0.81,10,2012
201211,0.14,-0.95,11,2012
201212,1.96,0.37,12,2012
201301,2.24,0.59,01,2013
201302,0.62,-1.12,02,2013
201303,0.83,-0.8,03,2013
201304,0.08,-0.74,04,2013
201305,0.05,-0.34,05,2013
201306,0,-0.28,06,2013
201307,2.89,0.88,07,2013
201308,3.19,0.6,08,2013
201309,1.85,0.41,09,2013
201310,0.24,-0.8,10,2013
201311,2.59,1.5,11,2013
201312,0.65,-0.94,12,2013
201401,0.03,-1.62,01,2014
201402,0.14,-1.6,02,2014
201403,1.01,-0.62,03,2014
201404,0.31,-0.51,04,2014
201405,0.03,-0.36,05,2014
201406,0,-0.28,06,2014
201407,2.25,0.24,07,2014
201408,5.2,2.61,08,2014
201409,3.01,1.57,09,2014
201410,0.34,-0.7,10,2014
201411,0.03,-1.06,11,2014
201412,2.51,0.92,12,2014
201501,2.22,0.57,01,2015
201502,0.69,-1.05,02,2015
201503,2.14,0.51,03,2015
201504,0.52,-0.3,04,2015
201505,1.29,0.9,05,2015
201506,0.68,0.4,06,2015
201507,1.66,-0.35,07,2015
201508,1.76,-0.83,08,2015
201509,1.18,-0.26,09,2015
201510,2.37,1.33,10,2015
201511,0.93,-0.16,11,2015
201512,0.6,-0.99,12,2015
201601,2.05,0.4,01,2016
201602,0.36,-1.38,02,2016
201603,0.13,-1.5,03,2016
201604,0.97,0.15,04,2016
201605,0.91,0.52,05,2016
201606,0.27,-0.01,06,2016
201607,1.23,-0.78,07,2016
201608,4.2,1.61,08,2016
201609,1.49,0.05,09,2016
201610,0.38,-0.66,10,2016
201611,1.31,0.22,11,2016
201612,3.38,1.79,12,2016
201701,3,1.35,01,2017
201702,2.67,0.93,02,2017
201703,0.66,-0.97,03,2017
201704,0.13,-0.69,04,2017
201705,0.47,0.08,05,2017
201706,0.01,-0.27,06,2017
201707,3.72,1.71,07,2017
201708,2.01,-0.58,08,2017
201709,0.9,-0.54,09,2017
201710,0,-1.04,10,2017
201711,0,-1.09,11,2017
201712,0.01,-1.58,12,2017
201801,0.83,-0.82,01,2018
201802,1.02,-0.72,02,2018
201803,0.62,-1.01,03,2018
201804,0.01,-0.81,04,2018
201805,0.25,-0.14,05,2018
201806,0.34,0.06,06,2018
201807,4.02,2.01,07,2018
201808,2.9,0.31,08,2018
201809,0.34,-1.1,09,2018
201810,3.42,2.38,10,2018
201811,0.34,-0.75,11,2018
201812,0.34,-1.25,12,2018
201901,2.69,1.04,01,2019
201902,4.1,2.36,02,2019
201903,1.32,-0.31,03,2019
201904,0.32,-0.5,04,2019
201905,1.26,0.87,05,2019
201906,0.01,-0.27,06,2019
201907,0.64,-1.37,07,2019
201908,0.76,-1.83,08,2019
201909,2.3,0.86,09,2019
201910,0,-1.04,10,2019
201911,4.2,3.11,11,2019
201912,2.32,0.73,12,2019
202001,0.21,-1.44,01,2020
202002,1.28,-0.46,02,2020
202003,4.42,2.79,03,2020
202004,0.55,-0.27,04,2020
202005,0.08,-0.31,05,2020
202006,0,-0.28,06,2020
202007,0.62,-1.39,07,2020
202008,0.8,-1.79,08,2020
202009,0.06,-1.38,09,2020
202010,0.01,-1.03,10,2020
202011,0.27,-0.82,11,2020
202012,0.24,-1.35,12,2020
202101,2.25,0.6,01,2021
202102,0.16,-1.58,02,2021
202103,1.05,-0.58,03,2021
202104,0.21,-0.61,04,2021
202105,0.04,-0.35,05,2021
202106,0.31,0.03,06,2021
202107,3.81,1.8,07,2021
202108,2.21,-0.38,08,2021
202109,1.48,0.04,09,2021
202110,0.84,-0.2,10,2021
202111,0.03,-1.06,11,2021
202112,2.48,0.89,12,2021
202201,0.27,-1.38,01,2022
202202,0.54,-1.2,02,2022
202203,0.78,-0.85,03,2022
202204,0.01,-0.81,04,2022
202205,0,-0.39,05,2022
202206,0.64,0.36,06,2022
202207,2,-0.01,07,2022
202208,3.72,1.13,08,2022
202209,2,0.56,09,2022
202210,1.53,0.49,10,2022
202211,0.63,-0.46,11,2022
202212,1.46,-0.13,12,2022
202301,3.75,2.1,01,2023
202302,1.44,-0.3,02,2023
202303,3.81,2.18,03,2023
202304,0,-0.82,04,2023
202305,1.06,0.67,05,2023
202306,0.05,-0.23,06,2023
202307,0.54,-1.47,07,2023
202308,1.4,-1.19,08,2023
202309,1.31,-0.13,09,2023
202310,0.2,-0.84,10,2023
202311,0.26,-0.83,11,2023
202312,0.88,-0.71,12,2023
