Diameter,Height,HDR
4,42,105
1,8,80
2,14,70
2,26,130
4,36,90
4,35,87.5
1,10,100
3,31,103.3333333
3,24,80
2,13,65
3,35,116.6666667
3,26,86.66666667
3,43,143.3333333
5,73,146
2,48,240
3,26,86.66666667
,,#DIV/0!
4,49,122.5
3,25,83.33333333
3,44,146.6666667
5,35,70
5,42,84
3,23,76.66666667
,,#DIV/0!
,,#DIV/0!
2,19,95
,,#DIV/0!
3,26,86.66666667
3,14,46.66666667
3,21,70
4,22,55
3,24,80
2,10,50
,,#DIV/0!
2,16,80
2,18,90
3,31,103.3333333
4,39,97.5
3,29,96.66666667
1,9,90
4,28,70
1,8,80
4,35,87.5
5,36,72
,,#DIV/0!
,,#DIV/0!
3,36,120
2,25,125
4,49,122.5
5,53,106
4,41,102.5
3,19,63.33333333
3,17,56.66666667
2,13,65
3,43,143.3333333
5,53,106
1,12,120
3,25,83.33333333
2,17,85
1,11,110
3,26,86.66666667
2,15,75
4,23,57.5
4,55,137.5
,,#DIV/0!
,,#DIV/0!
4,31,77.5
2,14,70
3,21,70
2,13,65
,,#DIV/0!
2,29,145
3,27,90
2,23,115
2,14,70
5,53,106
5,59,118
2,10,50
2,23,115
2,15,75
3,30,100
3,28,93.33333333
2,23,115
4,22,55
3,35,116.6666667
2,23,115
3,31,103.3333333
3,34,113.3333333
,,#DIV/0!
3,17,56.66666667
1,9,90
5,35,70
3,19,63.33333333
4,32,80
3,23,76.66666667
,,#DIV/0!
4,37,92.5
4,38,95
3,48,160
7,70,100
4,42,105
4,58,145
,,#DIV/0!
5,41,82
4,36,90
,,#DIV/0!
,,#DIV/0!
4,27,67.5
2,10,50
9,94,104.4444444
3,24,80
4,34,85
1,8,80
3,20,66.66666667
2,4,20
2,9,45
3,13,43.33333333
3,27,90
3,24,80
3,27,90
4,24,60
2,16,80
2,16,80
7,61,87.14285714
4,42,105
3,14,46.66666667
1,5,50
3,21,70
1,5,50
1,6,60
4,42,105
4,36,90
4,7,17.5
1,9,90
2,15,75
1,10,100
4,42,105
3,36,120
1,7,70
2,9,45
2,15,75
1,10,100
4,46,115
3,28,93.33333333
1,6,60
2,11,55
2,12,60
1,7,70
3,21,70
2,9,45
1,5,50
2,14,70
4,30,75
1,6,60
9,121,134.4444444
7,91,130
11,148,134.5454545
7,98,140
5,40,80
3,33,110
7,78,111.4285714
7,79,112.8571429
8,88,110
3,20,66.66666667
3,30,100
2,13,65
2,11,55
2,20,100
2,18,90
3,22,73.33333333
3,28,93.33333333
4,42,105
2,18,90
1,4,40
2,15,75
2,14,70
3,20,66.66666667
2,21,105
3,18,60
1,7,70
3,18,60
3,18,60
4,28,70
3,16,53.33333333
4,24,60
4,41,102.5
1,8,80
4,22,55
6,55,91.66666667
2,14,70
3,30,100
3,21,70
2,14,70
5,46,92
4,35,87.5
4,38,95
3,21,70
2,16,80
5,42,84
3,11,36.66666667
2,13,65
4,28,70
2,13,65
4,49,122.5
5,57,114
3,25,83.33333333
3,34,113.3333333
3,32,106.6666667
4,40,100
3,33,110
3,29,96.66666667
2,14,70
1,11,110
3,29,96.66666667
7,72,102.8571429
1,10,100
2,30,150
2,16,80
2,17,85
2,33,165
4,31,77.5
5,42,84
1,3,30
3,30,100
3,16,53.33333333
2,19,95
3,33,110
2,12,60
2,21,105
2,29,145
1,4,40
3,19,63.33333333
1,6,60
3,30,100
1,12,120
3,26,86.66666667
2,30,150
2,15,75
2,19,95
1,5,50
2,13,65
3,31,103.3333333
3,32,106.6666667
3,24,80
2,28,140
3,36,120
2,20,100
3,35,116.6666667
4,20,50
2,13,65
2,23,115
5,49,98
3,28,93.33333333
3,42,140
3,21,70
1,10,100
3,37,123.3333333
2,18,90
,,#DIV/0!
1,7,70
5,57,114
,,#DIV/0!
,,#DIV/0!
5,49,98
3,24,80
6,47,78.33333333
5,37,74
12,108,90
7,57,81.42857143
3,31,103.3333333
3,24,80
13,75,57.69230769
4,51,127.5
3,27,90
3,39,130
1,9,90
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
4,25,62.5
2,21,105
1,18,180
2,24,120
2,16,80
