"","Diameter","Height","HDR"
"1",4,31,77.5
"2",3,8,26.66666667
"3",2,6,30
"4",1,6,60
"5",1,5,50
"6",1,3,30
"7",1,3,30
"8",4,27,67.5
"9",2,14,70
"10",5,57,114
"11",4,40,100
"12",3,52,173.3333333
"13",2,27,135
"14",2,27,135
"15",2,14,70
"16",3,52,173.3333333
"17",2,14,70
"18",5,57,114
"19",3,10,33.33333333
"20",3,35,116.6666667
"21",3,41,136.6666667
"22",2,13,65
"23",3,16,53.33333333
"24",2,13,65
"25",4,22,55
"26",3,21,70
"27",3,25,83.33333333
"28",4,27,67.5
"29",3,25,83.33333333
"30",3,25,83.33333333
"31",6,50,83.33333333
"32",6,55,91.66666667
"33",3,28,93.33333333
"34",2,10,50
"35",2,12,60
"36",5,51,102
"37",4,46,115
"38",2,6,30
"39",2,11,55
"40",4,46,115
"41",4,43,107.5
"42",4,40,100
"43",4,46,115
"44",4,45,112.5
"45",2,10,50
"46",2,12,60
"47",2,25,125
"48",2,11,55
"49",3,21,70
"50",3,30,100
"51",2,13,65
"52",4,35,87.5
"53",2,10,50
"54",3,17,56.66666667
"55",2,14,70
"56",3,19,63.33333333
"57",3,25,83.33333333
"58",5,35,70
"59",3,31,103.3333333
"60",2,15,75
"61",2,16,80
"62",4,25,62.5
"63",2,17,85
"64",3,20,66.66666667
"65",6,52,86.66666667
"66",4,27,67.5
"67",2,11,55
"68",2,15,75
"69",3,36,120
"70",3,12,40
"71",2,17,85
"72",3,22,73.33333333
"73",1,5,50
"74",2,20,100
"75",2,20,100
"76",3,26,86.66666667
"77",1,4,40
"78",1,5,50
"79",2,13,65
"80",2,20,100
"81",2,16,80
"82",2,26,130
"83",2,17,85
"84",3,31,103.3333333
"85",2,15,75
"86",1,4,40
"87",1,10,100
"88",1,13,130
"89",2,16,80
"90",1,9,90
"91",3,27,90
"92",2,13,65
"93",1,10,100
"94",1,9,90
"95",1,6,60
"96",2,22,110
"97",3,25,83.33333333
"98",1,12,120
"99",3,21,70
"100",2,15,75
"101",3,23,76.66666667
"102",3,36,120
"103",2,11,55
"104",3,22,73.33333333
"105",2,11,55
"106",2,21,105
"107",3,25,83.33333333
"108",2,19,95
"109",3,21,70
"110",3,34,113.3333333
"111",2,13,65
"112",2,11,55
"113",2,12,60
"114",3,42,140
"115",2,16,80
"116",1,12,120
"117",3,32,106.6666667
"118",2,16,80
"119",2,12,60
"120",3,23,76.66666667
"121",1,10,100
"122",2,24,120
"123",2,17,85
"124",2,16,80
"125",1,10,100
"126",3,42,140
"127",3,37,123.3333333
"128",2,20,100
"129",4,35,87.5
"130",3,35,116.6666667
"131",3,40,133.3333333
"132",3,35,116.6666667
"133",4,59,147.5
"134",1,10,100
"135",1,8,80
"136",3,27,90
"137",3,29,96.66666667
"138",1,11,110
"139",2,21,105
"140",3,43,143.3333333
"141",3,16,53.33333333
"142",2,19,95
"143",2,18,90
"144",1,14,140
"145",1,10,100
"146",1,7,70
"147",2,12,60
"148",2,26,130
"149",4,25,62.5
"150",2,15,75
"151",1,9,90
"152",2,11,55
"153",1,10,100
"154",2,24,120
"155",1,10,100
"156",2,20,100
"157",2,11,55
"158",2,14,70
"159",1,10,100
"160",1,12,120
"161",3,24,80
"162",2,12,60
"163",1,6,60
"164",1,9,90
"165",2,17,85
"166",2,19,95
"167",2,10,50
"168",1,6,60
"169",2,9,45
"170",2,11,55
"171",1,7,70
"172",1,8,80
"173",2,33,165
"174",2,10,50
"175",1,8,80
"176",2,11,55
"177",2,20,100
"178",2,9,45
"179",2,16,80
"180",3,35,116.6666667
"181",2,10,50
"182",3,40,133.3333333
"183",2,12,60
"184",1,5,50
"185",4,50,125
"186",2,17,85
"187",1,9,90
"188",1,10,100
"189",2,11,55
"190",1,13,130
"191",2,13,65
"192",2,11,55
"193",2,20,100
"194",2,12,60
"195",2,23,115
"196",2,20,100
"197",2,14,70
"198",2,16,80
"199",2,13,65
"200",3,27,90
"201",2,11,55
"202",2,10,50
"203",2,31,155
"204",1,10,100
"205",2,9,45
"206",3,24,80
"207",1,7,70
"208",2,15,75
"209",2,19,95
"210",6,60,100
"211",7,85,121.4285714
"212",6,25,41.66666667
"213",4,40,100
"214",3,37,123.3333333
"215",6,55,91.66666667
"216",3,43,143.3333333
"217",2,30,150
"218",3,53,176.6666667
"219",2,30,150
"220",2,11,55
"221",2,15,75
"222",2,21,105
