,Core,ID,ID2,Diameter (CM),InnerRing,PithHand,PithCalc,minage,,,,,,,,Min Age
,LB29Popfre,LB29,L,48.4,1992,1988,,,,,,,,,,
,,,,,,,,,,,,,,,,
,LB2Popfre,LB2P,L,47.5,1998,1998,,,,,,,,,,
,LB3Popfre,LB3,L,37.8,2005,2001,2002,,,,,,,,,
,LB5Popfre,LB5P,L,28.0,,,,,,,,,,,,
,LB31Salgoo,LB31,L,31.5,2003,2002,2007,,,,,,,,,
,LB32Salgoo,LB32,L,31.0,2008,2007,,,,,,,,,,
,LB33Salgoo,LB33,L,30.4,2008,2005,,,,,,,,,,
,LB34Salgoo,LB34,L,21.3,2002,2001,,,,,,,,,,
,LB35Salgoo,LB35,L,25.7,2009,,,2009,,,,,,,,
,LB36Popfre,LB36,L,67.8,1994,1993,,,,,,,,,,
,LB38Popfre,LB38,L,,,,,,,,,,,,,
,LB4Salgoo,LB4,L,23.9,2000,1999,1997,,,,,,,,,
,LB6Popfre,LB6,L,,,,,,,,,,,,,
,LB6realWpt,LB6,L,,,,,,,,,,,,,
,LB7,LB7,L,36.4,NA,NA,,,,,,,,,,
,LB8Popfre,LB8,L,32.4,1999,1997,1996,,,,,,,,,
,LB9Popfre,LB9,L,47.9,,,,2001,,,,,,,,
,S1Popfre,S1,S,,,,,,,,,,,,,
Species??,S2,S2,S,46.4,1998,,,1998,,,,,,,,
,S9Salgoo,S9Sa,S,23.0,2011,,,2011,,,,,,,,
,S10Popfre,S10,S,30.5,2002,2000,,,,,,,,,,
,S11Popfre,S11,S,49.0,2001,1998,,,,,,,,,,
Species?,S12,S12,S,9.5,2014,,,2014,,,,,,,,
,S13Popfre,S13,S,28.0,2010,2007,,,,,,,,,,
,S14Popfre,S14,S,64.2,2000,2000,,,,,,,,,,
,S15Popfre,S15,S,32.4,1999,1997,,,,,,,,,,
,S16Popfre,S16,S,18.4,1999,1998,,,,,,,,,,
,S17Popfre,S17P,S,29.0,2000,1997,,,,,,,,,,
,S18Popfre,S18,S,39.3,1996,1994,,,,,,,,,,
,S19Popfre,S19,S,22.8,2003,2001,,,,,,,,,,
,S21Popfre,S21,S,28.0,1994,1994,,,,,,,,,,
,S22Popfre,S22,S,15.0,2008,2005,,,,,,,,,,
,S23Popfre,S23,S,42.5,2006,2002,,,,,,,,,,
,S25Salgoo,S25,S,,2008,,,2008,,,,,,,,
,S26Salgoo,S26S,S,32.0,2006,2005,,,,,,,,,,
,S27Popfre,S27,S,18.0,2007,2006,,,,,,,,,,
,S28Salgoo,S28,S,13.0,2006,2006,,,,,,,,,,
,S29Salgoo,S29,S,27.5,2012,2009,,,,,,,,,,
,S30Salgoo,S30,S,40.7,1987,,,1987,,,,,,,,
,S31Salgoo,S31,S,25.5,2007,2001,,,,,,,,,,
,S32Salgoo,S32S,S,16.5,2002,2002,,,,,,,,,,
,S33Popfre,S33,S,44.5,2013,,,2013,,,,,,,,
,S34Popfre,S34,S,28.5,2012,2011,,,,,,,,,,
,S35Popfre,S35P,S,37.0,2009,,,2009,,,,,,,,
,S36Popfre,S36,S,30.5,2012,2010,,,,,,,,,,
,S37Popfre,S37,S,57.5,2014,2007,,,,,,,,,,
,S38Popfre,S38,S,,,,,,,,,,,,,
,S39Popfre,S39,S,47.2,2011,2008,,,,,,,,,,
,S3Popfre,S3Po,S,22.0,2003,2001,,,,,,,,,,
,S4Popfre,S4,S,35.5,2005,2003,,,,,,,,,,
,S40Popfre,S40,S,38.0,2012,2010,,,,,,,,,,
,S41Popfre,S41,S,16.0,2012,2007,,,,,,,,,,
,S42Popfre,S42,S,56.0,2005,2002,,,,,,,,,,
,S43Popfre,S43,S,66.5,2001,1999,,,,,,,,,,
,S44Popfre,S44,S,95.2,1991,1987,,,,,,,,,,
,S45Popfre,S45,S,27.0,2000,1999,,,,,,,,,,
,S46Popfre,S46,S,21.0,2006,2006,,,,,,,,,,
,S5Popfre,S5,S,,,,,,,,,,,,,
,S54Popfre,S54,S,38.5,2000,1999,,,,,,,,,,
,S6Popfre,S6,S,,,,,,,,,,,,,
,S7Popfre,S7,S,24.6,2001,2000,,,,,,,,,,
,S8Popfre,S8,S,55.5,2006,2003,,,,,,,,,,
,UB39Popfre,UB39,U,38.2,2006,,,2006,,,,,,,,
,UB40Popfre,UB40,U,,,,,,,,,,,,,
,UB41Popfre,UB41,U,,,,,,,,,,,,,
,UB42Popfre,UB42,U,27.3,1998,,,1998,,,,,,,,
,UB43Popfre,UB43,U,30.9,1994,1993,,,,,,,,,,
,UB44Popfre,UB44,U,30.4,1996,1995,,,,,,,,,,
,UB46Popfre,UB46,U,39.0,1993,1991,,,,,,,,,,
,UB47Popfre,UB47,U,35.5,2001,,,2001,,,,,,,,
,UB48Popfre,UB48,U,26.2,1994,1993,1993,,,,,,,,,
,UB49Popfre,UB49,U,22.0,1998,1998,1998,,,,,,,,,
,UB50Popfre,UB50,U,16.8,2002,1999,,,,,,,,,,
,UB51Popfre,UB51,U,36.2,1995,,,1995,,,,,,,,
,UB52Popfre,UB52,U,50.2,1993,1993,,,,,,,,,,
,UB53Popfre,UB53,U,57.0,2001,,,2001,,,,,,,,
,UB54Popfre,UB54,U,75.0,1994,1991,,,,,,,,,,
,UB55Popfre,UB55,U,53.5,1997,1993,,,,,,,,,,
,UB56Popfre,UB56,U,46.0,1999,1997,,,,,,,,,,
,UB57Popfre,UB57,U,,,,,,,,,,,,,
,UB59Popfre,UB59,U,14.8,2002,2002,2000,,,,,,,,,
,UB60Popfre,UB60,U,62.8,2009,2008,,,,,,,,,,
,UB61Popfre,UB61,U,42.3,2002,2000,2001,,,,,,,,,
,UB62Popfre,UB62,U,38.6,2003,2001,,,,,,,,,,
,UB63Popfre,UB63,U,45.0,2001,1997,,,,,,,,,,
,UB64Popfre,UB64,U,16.5,1999,1997,1997,,,,,,,,,
,UB65Popfre,UB65,U,35.0,1999,1998,,,,,,,,,,
,UB66Popfre,UB66,U,17.5,1998,1998,,,,,,,,,,
,UB67Popfre,UB67,U,27.0,2008,2004,2005,,,,,,,,,
,UB68Popfre,UB68,U,58.0,2007,2003,,,,,,,,,,
,UB69Popfre,UB69,U,16.0,2009,,,2009,,,,,,,,
,UB70Popfre,UB70,U,34.0,2001,2000,2000,,,,,,,,,
,UB71Popfre,UB71,U,21.0,1997,1997,,,,,,,,,,
,WCC_B_1,WCC_,W,131.0,,,,,,,,,,,,
,WCC_B_2,WCC_,W,111.0,,,,,,,,,,,,
,WCC_B_3,WCC_,W,155.0,,,,,,,,,,,,
,WCC_B_4,WCC_,W,111.0,,,,,,,,,,,,
,WCC_B_5,WCC_,W,92.0,,,,,,,,,,,,
,WCC_B_6,WCC_,W,85.0,,,,,,,,,,,,
,S??Salgoo,,,85.0,2007,2005,,,,,,,,,,
